Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029985016,-0.05131133,-68.03730207932556,-68.03730264628786,658.0
2000,1.4192834,0.00029955019,-0.16178054,-46.311862257559675,-46.31186280491386,771.6666666666666
3000,1.4202118,0.00029925015,-0.20645498,None,None,None
4000,1.4201084,0.00029895015,-0.27494824,-97.14338106361714,-97.14338093051163,2318.0
5000,1.4200218,0.00029865015,0.051121827,9.85226071017928,9.852258854128856,2607.5
6000,1.4209781,0.00029835015,0.024944631,-5.360719394197986,-5.3607206180100135,608.0
7000,1.4213904,0.00029805017,0.2733864,54.288359955243834,54.28836133219112,2453.25
8000,1.4230772,0.00029775017,0.42310527,23.696706542328855,23.696707671937304,2560.75
9000,1.422971,0.0002974502,0.3449581,22.068592340180356,22.068592343048206,843.6666666666666
10000,1.4228097,0.00029715017,0.16519666,22.793493002653122,22.793494588568308,459.0
11000,1.4231386,0.00029685016,0.61919695,20.701364004316645,20.701365205952097,2173.25
12000,1.4232825,0.00029655016,0.71458864,36.25812317485588,36.25812241434281,1197.5
13000,1.423408,0.00029625016,0.49905226,41.89764689012676,41.897646877237996,880.3333333333334
14000,1.4234849,0.0002959502,1.0543638,60.630616516290765,60.63061460821277,2910.0
15000,1.4237007,0.00029565016,0.47936615,50.6447285147176,50.64472949630127,1056.75
16000,1.4239302,0.00029535018,1.2298812,-11.331385004253471,-11.33138517832314,5439.333333333333
17000,1.4241179,0.00029505018,0.4676808,58.14629426015472,58.146294528879416,2527.6666666666665
18000,1.4245119,0.00029475015,0.7282194,23.10392597192697,23.10392734376082,3793.6666666666665
19000,1.4246782,0.00029445018,1.5782496,37.80069721747259,37.800697894327925,1212.5
20000,1.425258,0.00029415017,1.7217191,34.60674231721803,34.606742018436215,1888.8
21000,1.4250681,0.00029385017,1.4697508,63.20528526359673,63.20528394053405,2134.0
22000,1.4248003,0.00029355017,2.7768712,-4.199374080487966,-4.199373673290187,832.3333333333334
23000,1.4241745,0.00029325014,1.1388785,120.48051021255341,120.48051111854934,1535.4
24000,1.4239,0.00029295016,2.1579514,11.41979182454179,11.419792253283589,1384.0
25000,1.4233466,0.00029265016,2.09761,54.11207038404427,54.11206932368579,1625.4
26000,1.4234761,0.00029235013,2.7531826,40.78795269059647,40.78795339723967,1039.2
27000,1.4238249,0.00029205016,4.2494426,106.35652466281901,106.35652443485014,1679.4285714285713
28000,1.4234929,0.00029175016,3.6566944,11.424854585946637,11.42485486162943,499.57142857142856
29000,1.4232363,0.00029145018,3.0092647,56.29379248571104,56.293791990899635,1098.25
30000,1.4228376,0.00029115018,3.3234193,57.51532847177123,57.515330262382456,1141.857142857143
31000,1.4227847,0.00029085015,3.6762707,65.16546844608092,65.16546965882144,912.8333333333334
32000,1.4228985,0.00029055018,4.0462465,46.561902521144866,46.561902044024954,850.7142857142857
33000,1.4230255,0.00029025017,2.8467577,19.08610159224736,19.08610138376753,711.25
34000,1.423191,0.00028995017,4.8196545,81.19261154890111,81.19261249531462,1030.7142857142858
35000,1.422993,0.00028965017,3.2764244,55.13159309406874,55.13159250751538,799.2
36000,1.4229163,0.00028935017,5.3014154,55.49928345047829,55.499283689952065,984.375
37000,1.4236584,0.00028905016,5.648112,77.9048203444441,77.90482060900347,634.7142857142857
38000,1.42357,0.00028875016,5.8325887,42.09201443600169,42.092013983578234,637.4444444444445
39000,1.42332,0.0002884502,4.4198513,42.07152836032453,42.07152822092822,596.0
40000,1.4231963,0.00028815016,5.1642747,14.910320152671865,14.910319824541148,418.53846153846155
41000,1.4231036,0.00028785018,6.4352217,45.60265586028496,45.60265615299962,571.0
42000,1.42373,0.00028755015,4.9197235,58.318730534296684,58.318730333096376,659.8461538461538
43000,1.423903,0.00028725015,5.847825,44.69401081214892,44.694011819703775,586.9090909090909
44000,1.4243553,0.00028695018,4.957499,32.174542061351126,32.17454206261217,519.8888888888889
45000,1.4248164,0.00028665017,4.5112424,28.940125770071806,28.940126693842583,492.1818181818182
46000,1.4254609,0.00028635017,4.9060235,24.498163847252727,24.498162702614213,422.6666666666667
47000,1.4260868,0.00028605017,4.897298,26.076789523661137,26.076788886407996,425.4
48000,1.4263389,0.00028575014,4.6040306,26.063909685064573,26.063909756814592,442.5
49000,1.4256417,0.00028545017,5.102624,47.44414004328428,47.44414037141747,657.75
50000,1.4255852,0.00028515016,4.786655,29.01730246304942,29.01730219566157,508.5
51000,1.4254782,0.0002848502,5.3287573,70.16707312688231,70.16707379205042,740.0
52000,1.4248,0.00028455016,5.3519464,17.694116970776424,17.694117591566812,461.5
53000,1.4242586,0.00028425016,5.9422774,85.90911774896085,85.90911978899051,878.5
54000,1.4225804,0.00028395015,4.311413,59.71188624613569,59.71188688854209,761.8333333333334
55000,1.4223734,0.00028365015,3.2783546,21.052800717647187,21.052799929573386,500.25
56000,1.4230155,0.00028335018,4.0553355,18.03245888213184,18.032457943537832,919.0
57000,1.4235115,0.00028305018,4.6628594,75.41509330123662,75.41509338176675,798.0
58000,1.4242281,0.0002827502,3.665848,25.720286119608648,25.720286590107833,1916.6363636363637
59000,1.4245232,0.00028245017,3.477076,6.577339094433607,6.577339373579662,512.9166666666666
60000,1.4246438,0.00028215017,5.4876714,19.376625156506964,19.376625046231116,499.54545454545456
61000,1.4242027,0.00028185017,6.2017603,21.59653428490632,21.596534799183853,451.46153846153845
62000,1.424482,0.00028155016,4.637795,28.789277745907505,28.78927737079298,450.4
